PARK,PARK NUMBER,FACILITY NAME,FACILITY TYPE
BEVERLY,254,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
BEVERLY,254,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
BEVERLY,254,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
BEVERLY,254,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
BEVERLY,254,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
BEVERLY,254,PLAYGROUND,OUTDOOR
,,,
BEVERLY,254,VOLLEYBALL (SAND),OUTDOOR
,,,
BEVERLY,254,SPRAY FEATURE,OUTDOOR
,,,
BEVERLY,254,BASEBALL SR,OUTDOOR
,,,
BEVERLY,254,TENNIS COURT,OUTDOOR
,,,
BEVERLY,254,TENNIS COURT,OUTDOOR
,,,
BEVERLY,254,TENNIS COURT,OUTDOOR
,,,
BEVERLY,254,TENNIS COURT,OUTDOOR
,,,
BEVERLY,254,VOLLEYBALL,OUTDOOR
,,,
BIRCH,322,PLAYGROUND PARK,OUTDOOR
,,,
BIXLER (RAY),1083,PLAYGROUND PARK,OUTDOOR
,,,
BIXLER (RAY),1083,SPRAY FEATURE,OUTDOOR
,,,
BLACKHAWK,122,BASKETBALL COURT,OUTDOOR
,,,
BLACKHAWK,122,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
BLACKHAWK,122,GYMNASIUM,INDOOR
,,,
BLACKHAWK,122,POOL (INDOOR),INDOOR
,,,
BLACKHAWK,122,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
BLACKHAWK,122,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
BLACKHAWK,122,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
BLACKHAWK,122,PLAYGROUND,OUTDOOR
,,,
BLACKHAWK,122,SPRAY FEATURE,OUTDOOR
,,,
BLACKHAWK,122,TENNIS COURT,OUTDOOR
,,,
BLACKHAWK,122,TENNIS COURT,OUTDOOR
,,,
BLACKHAWK,122,TENNIS COURT,OUTDOOR
,,,
BLACKHAWK,122,TENNIS COURT,OUTDOOR
,,,
BLACKHAWK,122,TENNIS COURT,OUTDOOR
,,,
"BLACKWELDER (I.S., GERTRUDE)",373,BASKETBALL COURT,OUTDOOR
,,,
"BLACKWELDER (I.S., GERTRUDE)",373,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
"BLACKWELDER (I.S., GERTRUDE)",373,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
"BLACKWELDER (I.S., GERTRUDE)",373,PLAYGROUND,OUTDOOR
,,,
BOGAN (WILLIAM),264,BASKETBALL COURT,OUTDOOR
,,,
BOGAN (WILLIAM),264,BASKETBALL COURT,OUTDOOR
,,,
BOGAN (WILLIAM),264,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
BOGAN (WILLIAM),264,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
BOGAN (WILLIAM),264,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
BOGAN (WILLIAM),264,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
BOGAN (WILLIAM),264,PLAYGROUND,OUTDOOR
,,,
BOGAN (WILLIAM),264,BASEBALL SR,OUTDOOR
,,,
BOGAN (WILLIAM),264,TENNIS COURT,OUTDOOR
,,,
BOGAN (WILLIAM),264,TENNIS COURT,OUTDOOR
,,,
BOGAN (WILLIAM),264,TENNIS COURT,OUTDOOR
,,,
"BOLER (LEO ROSCOE, SR.)",496,PLAYGROUND,OUTDOOR
,,,
BOSLEY (WILLIAM),1024,BASKETBALL COURT,OUTDOOR
,,,
BOSLEY (WILLIAM),1024,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
BOSLEY (WILLIAM),1024,HORSESHOE COURT,OUTDOOR
,,,
BOSLEY (WILLIAM),1024,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
BOSLEY (WILLIAM),1024,PLAYGROUND,OUTDOOR
,,,
BURNHAM (DANIEL),27,BOAT SLIPS,OUTDOOR
,,,
BURNHAM (DANIEL),27,BOAT LAUNCH MOTORIZED,OUTDOOR
,,,
